test_id,message_length,sha256_bits_changed,esha256_bits_changed
1166,61,139,124
1167,62,124,140
1168,63,119,127
1169,64,128,129
1170,65,140,120
1171,66,123,124
1172,67,130,141
1173,68,132,133
1174,69,133,124
1175,70,139,130
1176,71,119,131
1177,72,129,126
1178,73,116,132
1179,74,113,132
1180,75,133,126
1181,76,132,117
1182,77,115,118
1183,78,133,132
1184,79,120,131
1185,80,123,118
1186,81,139,128
1187,82,121,138
1188,83,113,136
1189,84,109,135
1190,85,129,126
1191,86,123,130
1192,87,127,122
1193,88,119,128
1194,89,145,144
1195,90,132,120
1196,91,123,118
1197,92,117,122
1198,93,114,140
1199,94,115,136
1200,95,125,131
1201,96,133,134
1202,97,126,127
1203,98,133,127
1204,99,133,134
1205,100,130,138
1206,101,146,126
1207,102,135,126
1208,103,126,132
1209,104,122,131
1210,105,142,131
1211,106,137,125
1212,107,127,126
1213,108,126,133
1214,109,145,125
1215,110,127,123
1216,111,120,132
1217,112,128,132
1218,113,120,137
1219,114,127,131
1220,115,129,138
1221,116,121,131
1222,117,115,130
1223,118,138,134
1224,119,122,120
1225,120,129,135
1226,121,145,119
1227,122,131,123
1228,123,136,138
1229,124,130,141
1230,125,128,126
1231,126,148,128
1232,127,139,139
1233,16,130,129
1234,17,125,140
1235,18,133,128
1236,19,125,114
1237,20,117,121
1238,21,125,121
1239,22,128,140
1240,23,127,135
1241,24,130,132
1242,25,135,121
1243,26,134,132
1244,27,125,120
1245,28,131,125
1246,29,122,133
1247,30,135,129
1248,31,126,132
1249,32,134,127
1250,33,129,132
1251,34,129,149
1252,35,136,131
1253,36,123,136
1254,37,124,135
1255,38,144,110
1256,39,130,123
1257,40,130,121
1258,41,125,149
1259,42,119,130
1260,43,132,113
1261,44,118,123
1262,45,144,133
1263,46,139,118
1264,47,119,136
1265,48,122,119
1266,49,119,117
1267,50,140,129
1268,51,120,119
1269,52,125,135
1270,53,140,120
1271,54,126,116
1272,55,134,143
1273,56,124,125
1274,57,118,119
1275,58,123,140
1276,59,135,126
1277,60,134,144
1278,61,131,121
